name_x,club_x,profile_image,year,market_value,name_y,club_y,nat,position,dob,age,height,weight,wage,last trans. fee,value,agg,jum,pun,vis,l th,lon,otb,tck,tec,tea,cmp,fre,ref,pos,pen,pas,fla,ant,cro,mar,ldr,cor,cnt,det,dec,hea,fir,com,acc,pac,aer,str,thr,han,ecc,dri,bal,kic,sta,agi,wor,bra,cmd,fin,1v1,tro,centerback,fullback,goalkeeper,midfielder,striker,winger,division_rating,nat_rating,club_rating,either_left,either_right,left,right,RUS_names
,,,,,Maxim Kanunnikov,Krylja Sovetov,RUS, AM (RL)                             , 14/7/1991 (29 years old)  ,29.0,184.0,80.0,53000.0,0.0,775000.0,13.0,12.0,2.0,9.0,10.0,10.0,11.0,8.0,13.0,15.0,13.0,7.0,1.0,12.0,8.0,9.0,7.0,11.0,9.0,6.0,7.0,8.0,12.0,17.0,10.0,12.0,11.0,3.0,12.0,13.0,3.0,11.0,2.0,3.0,3.0,9.0,13.0,1.0,14.0,12.0,9.0,14.0,1.0,11.0,2.0,3.0,0,0,0,0,0,1,64.8,1497.63,1425.0,0,1,0,0,Maksim Kanunnikov
Mikhail Merkulov,,https://img.a.transfermarkt.technology/portrait/small/231387-1600613080.png?lm=1,29,-,Mikhail Merkulov,Rubin,RUS, D (L)                               , 26/1/1994 (26 years old)  ,26.0,180.0,70.0,47500.0,0.0,750000.0,8.0,9.0,2.0,8.0,10.0,8.0,11.0,13.0,8.0,14.0,11.0,8.0,2.0,13.0,4.0,10.0,5.0,11.0,8.0,13.0,8.0,9.0,13.0,6.0,11.0,13.0,9.0,3.0,13.0,13.0,2.0,8.0,3.0,1.0,3.0,12.0,13.0,1.0,13.0,13.0,15.0,13.0,2.0,6.0,3.0,3.0,0,1,0,0,0,0,79.8,1497.63,1471.0,0,0,1,0,Mikhail Merkulov
,,,,,Evgeny Frolov,Krylja Sovetov,RUS, GK                                  , 5/2/1988 (32 years old)   ,32.0,195.0,82.0,55500.0,0.0,725000.0,11.0,16.0,12.0,11.0,1.0,2.0,2.0,2.0,6.0,9.0,14.0,8.0,14.0,12.0,2.0,15.0,3.0,11.0,1.0,3.0,10.0,6.0,13.0,8.0,11.0,1.0,2.0,10.0,10.0,12.0,14.0,13.0,10.0,12.0,13.0,1.0,13.0,9.0,13.0,11.0,11.0,13.0,12.0,1.0,10.0,11.0,0,0,1,0,0,0,64.8,1497.63,1425.0,0,0,0,1,Evgeniy Frolov
,,,,,Ilja Pomazun,CSKA Moscow,RUS, GK                                  , 16/8/1996 (23 years old)  ,23.0,190.0,84.0,55500.0,0.0,675000.0,10.0,14.0,8.0,11.0,3.0,1.0,2.0,2.0,4.0,12.0,10.0,6.0,14.0,10.0,3.0,14.0,2.0,10.0,3.0,1.0,2.0,4.0,13.0,9.0,12.0,1.0,4.0,9.0,10.0,10.0,12.0,14.0,9.0,15.0,4.0,2.0,12.0,11.0,10.0,12.0,11.0,12.0,11.0,2.0,10.0,10.0,0,0,1,0,0,0,79.8,1497.63,1572.0,0,0,0,1,Ilya Pomazun
Markovic & Binder Sports Management GmbH,,,,,Evgeny Markov,Krasnodar,RUS, ST (C)                              , 7/7/1994 (26 years old)   ,26.0,187.0,78.0,43500.0,500000.0,675000.0,11.0,15.0,2.0,12.0,11.0,11.0,16.0,8.0,9.0,9.0,9.0,12.0,2.0,8.0,12.0,9.0,5.0,14.0,8.0,6.0,11.0,8.0,13.0,14.0,11.0,16.0,9.0,2.0,11.0,10.0,1.0,12.0,2.0,3.0,3.0,8.0,13.0,1.0,14.0,9.0,11.0,14.0,1.0,14.0,3.0,1.0,0,0,0,0,1,0,79.8,1497.63,1406.0,0,0,0,1,Evgeniy Markov
,,,,,Evgeny Gorodov,Krasnodar,RUS, GK                                  , 13/12/1985 (34 years old) ,34.0,189.0,86.0,69500.0,0.0,650000.0,12.0,14.0,13.0,11.0,1.0,1.0,1.0,3.0,10.0,10.0,13.0,7.0,12.0,14.0,2.0,12.0,12.0,13.0,1.0,1.0,12.0,4.0,12.0,16.0,12.0,5.0,5.0,15.0,9.0,9.0,12.0,14.0,12.0,11.0,8.0,3.0,12.0,12.0,10.0,11.0,10.0,14.0,15.0,2.0,13.0,7.0,0,0,1,0,0,0,79.8,1497.63,1406.0,0,0,0,1,Evgeniy Gorodov
,,,,,Alexandr Sapeta,Nizhniy Novgorod,RUS," DM, M (C)                           ", 28/6/1989 (31 years old)  ,31.0,179.0,73.0,55500.0,0.0,600000.0,14.0,9.0,4.0,10.0,7.0,12.0,13.0,10.0,11.0,14.0,14.0,10.0,3.0,12.0,14.0,12.0,8.0,13.0,8.0,13.0,15.0,7.0,13.0,8.0,12.0,9.0,11.0,1.0,12.0,12.0,3.0,9.0,3.0,3.0,3.0,12.0,12.0,3.0,13.0,12.0,13.0,14.0,2.0,9.0,4.0,1.0,0,0,0,1,0,0,64.8,1497.63,1357.0,0,0,0,1,Aleksandr Sapeta
,,,,,Vitaly Shakhov,Tambov,RUS, D (C)                               , 9/1/1991 (29 years old)   ,29.0,188.0,80.0,950.0,0.0,600000.0,13.0,14.0,3.0,11.0,11.0,9.0,10.0,13.0,10.0,10.0,11.0,10.0,1.0,13.0,9.0,10.0,12.0,12.0,8.0,10.0,10.0,9.0,12.0,12.0,10.0,10.0,10.0,2.0,11.0,13.0,3.0,13.0,2.0,1.0,1.0,9.0,13.0,3.0,13.0,10.0,12.0,10.0,1.0,11.0,3.0,1.0,1,0,0,0,0,0,79.8,1497.63,1278.0,0,0,0,1,Vitaliy Shakhov
,,,,,Alexandr Filin,Khimki,RUS, D (C)                               , 25/6/1996 (24 years old)  ,24.0,185.0,78.0,34000.0,0.0,600000.0,10.0,13.0,1.0,12.0,8.0,7.0,9.0,12.0,12.0,15.0,12.0,8.0,1.0,12.0,10.0,11.0,5.0,12.0,10.0,10.0,8.0,7.0,10.0,12.0,13.0,11.0,11.0,1.0,12.0,12.0,1.0,11.0,2.0,2.0,3.0,10.0,12.0,2.0,13.0,12.0,15.0,13.0,1.0,7.0,3.0,1.0,1,0,0,0,0,0,79.8,1497.63,1336.0,0,0,1,0,Aleksandr Filin
Roman Morozov,,,,,Grigory Morozov,Ufa,RUS, D (RL)                              , 6/6/1994 (26 years old)   ,26.0,183.0,74.0,39500.0,275000.0,575000.0,8.0,12.0,3.0,11.0,12.0,10.0,12.0,11.0,10.0,15.0,11.0,10.0,3.0,10.0,11.0,12.0,8.0,13.0,11.0,9.0,13.0,8.0,7.0,12.0,12.0,13.0,12.0,1.0,10.0,11.0,3.0,12.0,1.0,1.0,3.0,8.0,13.0,2.0,13.0,12.0,13.0,13.0,1.0,10.0,1.0,2.0,0,1,0,0,0,0,79.8,1497.63,1389.0,1,0,0,0,Grigoriy Morozov
,,,,,Dmitry Yefremov,Krylja Sovetov,RUS, AM (RLC)                            , 1/4/1995 (25 years old)   ,25.0,180.0,70.0,8750.0,5500.0,550000.0,13.0,9.0,2.0,8.0,5.0,10.0,10.0,13.0,8.0,15.0,10.0,10.0,3.0,9.0,13.0,10.0,13.0,12.0,10.0,12.0,10.0,10.0,12.0,13.0,8.0,8.0,10.0,1.0,13.0,15.0,1.0,8.0,3.0,2.0,1.0,11.0,11.0,3.0,12.0,13.0,14.0,11.0,1.0,9.0,2.0,4.0,0,0,0,1,0,0,64.8,1497.63,1425.0,0,0,0,1,Dmitriy Yefremov
,,,,,Dmitry Kombarov,Krylja Sovetov,RUS, D/WB (L)                            , 22/1/1987 (33 years old)  ,33.0,184.0,73.0,43500.0,0.0,525000.0,11.0,11.0,1.0,10.0,12.0,8.0,13.0,11.0,12.0,12.0,13.0,13.0,2.0,10.0,16.0,12.0,10.0,13.0,12.0,10.0,15.0,14.0,13.0,15.0,13.0,11.0,12.0,1.0,12.0,13.0,2.0,9.0,4.0,3.0,2.0,12.0,12.0,2.0,12.0,12.0,12.0,14.0,1.0,9.0,2.0,3.0,0,1,0,0,0,0,64.8,1497.63,1425.0,0,0,1,0,Dmitriy Kombarov
,,,,,Dmitry Kabutov,Krylja Sovetov,RUS, WB/M/AM (R)                         , 26/3/1992 (28 years old)  ,28.0,173.0,72.0,29500.0,0.0,500000.0,14.0,6.0,3.0,11.0,7.0,10.0,11.0,13.0,11.0,11.0,11.0,12.0,1.0,10.0,7.0,10.0,8.0,10.0,12.0,8.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,3.0,14.0,12.0,1.0,8.0,2.0,2.0,3.0,11.0,12.0,3.0,13.0,12.0,9.0,8.0,4.0,10.0,2.0,2.0,0,1,0,0,0,0,64.8,1497.63,1425.0,0,0,1,0,Dmitriy Kabutov
,,,,,Georgy Zotov,Rubin,RUS, D/WB (RL)                           , 12/1/1990 (30 years old)  ,30.0,175.0,73.0,47500.0,0.0,500000.0,14.0,9.0,1.0,9.0,12.0,11.0,9.0,12.0,11.0,12.0,11.0,7.0,2.0,11.0,3.0,11.0,9.0,12.0,12.0,12.0,10.0,10.0,13.0,15.0,11.0,10.0,10.0,3.0,12.0,13.0,2.0,8.0,2.0,3.0,4.0,12.0,11.0,3.0,13.0,12.0,13.0,14.0,2.0,7.0,3.0,2.0,0,1,0,0,0,0,79.8,1497.63,1471.0,0,0,0,1,Georgiy Zotov
,,,,,Evgeny Lutsenko,Arsenal Tula,RUS, ST (C)                              , 25/2/1987 (33 years old)  ,33.0,187.0,84.0,65000.0,0.0,500000.0,14.0,13.0,2.0,12.0,11.0,12.0,13.0,7.0,11.0,14.0,12.0,6.0,3.0,8.0,8.0,11.0,7.0,10.0,10.0,8.0,9.0,9.0,13.0,14.0,13.0,14.0,11.0,3.0,12.0,13.0,1.0,13.0,2.0,1.0,1.0,10.0,10.0,3.0,14.0,12.0,13.0,14.0,1.0,13.0,3.0,3.0,0,0,0,0,1,0,79.8,1497.63,1374.0,0,0,0,1,Evgeniy Lutsenko
,,,,,Igor Leschuk,Dinamo Moscow,RUS, GK                                  , 20/2/1996 (24 years old)  ,24.0,187.0,84.0,39500.0,0.0,500000.0,5.0,13.0,11.0,11.0,6.0,4.0,2.0,2.0,8.0,12.0,9.0,4.0,16.0,17.0,7.0,10.0,2.0,13.0,2.0,3.0,10.0,5.0,15.0,12.0,12.0,6.0,5.0,6.0,7.0,8.0,11.0,13.0,12.0,14.0,12.0,6.0,13.0,13.0,8.0,10.0,11.0,11.0,13.0,5.0,15.0,13.0,0,0,1,0,0,0,79.8,1497.63,1567.0,0,0,0,1,Igor Leshchuk
ProStar,,,,,Maxim Karpov,Krylja Sovetov,RUS, D (C)                               , 17/3/1995 (25 years old)  ,25.0,193.0,90.0,2800.0,165000.0,500000.0,11.0,16.0,2.0,7.0,6.0,9.0,9.0,14.0,9.0,12.0,12.0,6.0,2.0,13.0,11.0,9.0,11.0,12.0,6.0,11.0,13.0,6.0,12.0,17.0,12.0,13.0,9.0,3.0,8.0,11.0,2.0,16.0,2.0,2.0,4.0,7.0,11.0,1.0,11.0,8.0,14.0,12.0,3.0,7.0,3.0,2.0,1,0,0,0,0,0,64.8,1497.63,1425.0,0,0,0,1,Maksim Karpov
,,,,,Ilja Lantratov,Khimki,RUS, GK                                  , 11/11/1995 (24 years old) ,24.0,194.0,82.0,34000.0,0.0,475000.0,7.0,15.0,8.0,10.0,1.0,1.0,2.0,1.0,9.0,9.0,13.0,7.0,15.0,12.0,1.0,12.0,3.0,12.0,3.0,2.0,9.0,2.0,12.0,14.0,11.0,2.0,5.0,12.0,8.0,10.0,13.0,14.0,12.0,12.0,6.0,2.0,13.0,13.0,9.0,12.0,9.0,15.0,11.0,2.0,9.0,12.0,0,0,1,0,0,0,79.8,1497.63,1336.0,0,0,0,1,Ilya Lantratov
,,,,,Alexandr Zotov,Yenisey,RUS," DM, M (C)                           ", 27/8/1990 (29 years old)  ,29.0,178.0,70.0,33500.0,0.0,475000.0,10.0,8.0,4.0,11.0,10.0,9.0,10.0,9.0,11.0,14.0,9.0,9.0,1.0,10.0,8.0,12.0,7.0,12.0,7.0,11.0,13.0,7.0,13.0,11.0,11.0,7.0,11.0,3.0,11.0,11.0,3.0,7.0,1.0,1.0,3.0,8.0,9.0,2.0,14.0,12.0,14.0,13.0,1.0,8.0,3.0,2.0,0,0,0,1,0,0,64.8,1497.63,1319.0,0,0,0,1,Aleksandr Zotov
,,,,,Alexey Kozlov,Rostov,RUS, D (R)                               , 25/12/1986 (33 years old) ,33.0,186.0,78.0,67000.0,0.0,450000.0,11.0,12.0,2.0,11.0,13.0,13.0,12.0,13.0,10.0,16.0,13.0,9.0,2.0,13.0,9.0,11.0,6.0,14.0,13.0,16.0,5.0,10.0,14.0,15.0,13.0,10.0,12.0,1.0,13.0,13.0,1.0,11.0,1.0,3.0,3.0,8.0,11.0,3.0,12.0,12.0,16.0,10.0,3.0,6.0,3.0,3.0,0,1,0,0,0,0,79.8,1497.63,1440.0,0,0,0,1,Aleksey Kozlov
Young Football Talents,,,,,Maxim Glushenkov,Khimki,RUS," AM (RC), ST (C)                     ", 28/7/1999 (21 years old)  ,20.0,180.0,70.0,29500.0,0.0,450000.0,12.0,9.0,3.0,8.0,5.0,13.0,13.0,7.0,13.0,8.0,13.0,10.0,2.0,7.0,13.0,9.0,10.0,11.0,9.0,7.0,13.0,9.0,11.0,18.0,10.0,8.0,14.0,1.0,14.0,13.0,2.0,9.0,1.0,1.0,3.0,11.0,13.0,2.0,11.0,13.0,11.0,10.0,2.0,13.0,2.0,2.0,0,0,0,0,1,0,79.8,1497.63,1336.0,0,0,1,0,Maksim Glushenkov
,,,,,Evgeny Kharin,Akhmat,RUS, WB/M/AM (L)                         , 11/6/1995 (25 years old)  ,25.0,183.0,72.0,25000.0,0.0,450000.0,14.0,10.0,1.0,11.0,10.0,9.0,12.0,9.0,11.0,13.0,12.0,10.0,2.0,11.0,3.0,10.0,14.0,11.0,10.0,8.0,8.0,9.0,12.0,13.0,10.0,10.0,11.0,2.0,13.0,14.0,2.0,9.0,3.0,3.0,3.0,11.0,11.0,1.0,13.0,11.0,13.0,13.0,3.0,9.0,1.0,3.0,0,1,0,0,0,0,79.8,1497.63,1463.0,0,0,1,0,Evgeniy Kharin
,,,,,Andrey Yegorychev,Ural,RUS," M (C), AM (RC)                      ", 14/2/1993 (27 years old)  ,27.0,183.0,76.0,3300.0,0.0,450000.0,10.0,11.0,1.0,9.0,6.0,11.0,16.0,9.0,16.0,15.0,8.0,10.0,2.0,10.0,12.0,10.0,15.0,12.0,8.0,8.0,13.0,9.0,6.0,6.0,9.0,9.0,14.0,3.0,12.0,13.0,3.0,10.0,3.0,2.0,2.0,10.0,11.0,2.0,13.0,13.0,16.0,13.0,2.0,10.0,3.0,1.0,0,0,0,1,0,0,79.8,1497.63,1425.0,0,0,0,1,Andrey Yegorychev
,,,,,Arseny Logashov,Khimki,RUS, D (RLC)                             , 20/8/1991 (28 years old)  ,28.0,184.0,73.0,46000.0,0.0,425000.0,9.0,11.0,2.0,9.0,7.0,8.0,10.0,13.0,12.0,15.0,12.0,7.0,1.0,10.0,10.0,12.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,15.0,11.0,12.0,12.0,2.0,13.0,13.0,2.0,9.0,2.0,1.0,1.0,11.0,12.0,1.0,13.0,12.0,14.0,16.0,2.0,7.0,2.0,3.0,1,0,0,0,0,0,79.8,1497.63,1336.0,0,0,0,1,Arseniy Logashov
Evolution Sports Agency,,,,,Azer Aliev,Tambov,RUS," D/WB (L), M/AM (R)                  ", 12/5/1994 (26 years old)  ,26.0,168.0,62.0,475.0,0.0,425000.0,6.0,5.0,1.0,12.0,5.0,13.0,13.0,9.0,13.0,12.0,11.0,10.0,1.0,7.0,9.0,11.0,9.0,10.0,10.0,7.0,8.0,10.0,9.0,13.0,10.0,6.0,11.0,1.0,14.0,14.0,3.0,6.0,1.0,2.0,3.0,12.0,11.0,2.0,13.0,13.0,11.0,11.0,3.0,10.0,3.0,2.0,0,1,0,0,0,0,79.8,1497.63,1278.0,0,0,1,0,Azer Aliyev
,,,,,Alexandr Troshechkin,Khimki,RUS," DM, M (C)                           ", 23/4/1996 (24 years old)  ,24.0,183.0,78.0,24000.0,0.0,425000.0,15.0,11.0,2.0,14.0,9.0,9.0,12.0,15.0,10.0,13.0,12.0,8.0,2.0,10.0,12.0,14.0,13.0,13.0,10.0,10.0,7.0,10.0,10.0,16.0,14.0,14.0,12.0,4.0,10.0,11.0,2.0,11.0,1.0,2.0,2.0,12.0,13.0,1.0,12.0,11.0,13.0,13.0,3.0,8.0,1.0,3.0,0,0,0,1,0,0,79.8,1497.63,1336.0,0,0,0,1,Aleksandr Troshechkin
,,,,,Ilja Zhigulev,Rotor,RUS," DM, M/AM (C)                        ", 1/2/1996 (24 years old)   ,24.0,175.0,70.0,5750.0,0.0,425000.0,15.0,9.0,2.0,14.0,4.0,9.0,10.0,7.0,12.0,12.0,12.0,11.0,4.0,9.0,8.0,13.0,13.0,13.0,9.0,10.0,13.0,9.0,13.0,3.0,10.0,8.0,12.0,3.0,12.0,13.0,3.0,8.0,3.0,1.0,3.0,10.0,10.0,2.0,13.0,13.0,12.0,13.0,2.0,9.0,1.0,1.0,0,0,0,1,0,0,79.8,1497.63,1320.0,0,0,1,0,Ilya Zhigulev
,,,,,Yury Bavin,Tambov,RUS," DM, M (C)                           ", 5/2/1994 (26 years old)   ,26.0,173.0,71.0,25000.0,0.0,425000.0,13.0,7.0,3.0,10.0,6.0,12.0,12.0,12.0,12.0,12.0,11.0,6.0,2.0,12.0,10.0,12.0,9.0,12.0,10.0,12.0,10.0,10.0,12.0,17.0,9.0,8.0,12.0,1.0,13.0,13.0,1.0,8.0,2.0,1.0,3.0,11.0,11.0,3.0,12.0,13.0,13.0,11.0,4.0,10.0,2.0,1.0,0,0,0,1,0,0,79.8,1497.63,1278.0,0,0,0,1,Yuriy Bavin
Andrey Sinitsyn,,https://img.a.transfermarkt.technology/portrait/small/106196-1634221019.png?lm=1,35,-,Andrey Sinitsyn,Akron,RUS, GK                                  , 23/6/1988 (32 years old)  ,32.0,196.0,86.0,44500.0,0.0,425000.0,5.0,17.0,14.0,10.0,3.0,3.0,1.0,1.0,8.0,12.0,13.0,6.0,11.0,12.0,5.0,10.0,2.0,15.0,1.0,3.0,12.0,5.0,13.0,5.0,9.0,3.0,7.0,14.0,8.0,9.0,14.0,15.0,13.0,12.0,8.0,1.0,13.0,14.0,10.0,9.0,10.0,15.0,12.0,3.0,13.0,10.0,0,0,1,0,0,0,64.8,1497.63,1156.0,0,0,0,1,Andrey Sinitsyn
,,,,,Alexandr Vasyutin,Djurgårdens IF,RUS, GK                                  , 4/3/1995 (25 years old)   ,25.0,190.0,80.0,42500.0,700000.0,400000.0,9.0,14.0,9.0,10.0,3.0,3.0,2.0,1.0,4.0,11.0,11.0,7.0,13.0,15.0,2.0,14.0,1.0,11.0,3.0,1.0,11.0,2.0,12.0,14.0,14.0,1.0,7.0,12.0,12.0,13.0,12.0,11.0,11.0,12.0,11.0,2.0,12.0,12.0,8.0,10.0,10.0,15.0,12.0,3.0,13.0,11.0,0,0,1,0,0,0,74.2,1497.63,1512.0,0,0,0,1,Aleksandr Vasyutin
EKIPA Counselors,,,,,Alexey Gerasimov,Ural,RUS, D (C)                               , 15/4/1993 (27 years old)  ,27.0,194.0,87.0,25000.0,0.0,400000.0,10.0,16.0,2.0,10.0,5.0,11.0,6.0,10.0,8.0,13.0,10.0,12.0,1.0,12.0,6.0,11.0,6.0,12.0,9.0,11.0,12.0,8.0,14.0,8.0,9.0,14.0,7.0,3.0,9.0,12.0,3.0,14.0,3.0,2.0,3.0,9.0,13.0,1.0,12.0,10.0,13.0,11.0,2.0,7.0,3.0,3.0,1,0,0,0,0,0,79.8,1497.63,1425.0,0,0,1,0,Aleksey Gerasimov
,,,,,Ilja Gaponov,Spartak Moscow,RUS, D (C)                               , 25/10/1997 (22 years old) ,22.0,185.0,75.0,29500.0,0.0,400000.0,12.0,13.0,1.0,6.0,2.0,10.0,4.0,12.0,12.0,14.0,13.0,5.0,2.0,11.0,9.0,12.0,5.0,11.0,5.0,13.0,11.0,7.0,11.0,8.0,10.0,13.0,12.0,3.0,13.0,11.0,1.0,13.0,3.0,3.0,1.0,9.0,11.0,1.0,12.0,13.0,11.0,13.0,2.0,9.0,1.0,1.0,1,0,0,0,0,0,79.8,1497.63,1530.0,0,0,0,1,Ilya Gaponov
,,,,,Alexey Gritsaenko,Rubin,RUS, D (C)                               , 25/5/1995 (25 years old)  ,25.0,186.0,80.0,25500.0,0.0,400000.0,10.0,14.0,3.0,4.0,11.0,10.0,6.0,11.0,9.0,14.0,11.0,11.0,2.0,12.0,8.0,10.0,8.0,12.0,6.0,13.0,10.0,7.0,12.0,12.0,11.0,12.0,9.0,1.0,11.0,13.0,2.0,12.0,3.0,3.0,1.0,7.0,10.0,1.0,14.0,9.0,13.0,13.0,3.0,9.0,3.0,2.0,1,0,0,0,0,0,79.8,1497.63,1471.0,0,0,0,1,Aleksey Gritsaenko
,,,,,Alexandr Dovbnya,Arsenal Tula,RUS, D (C)                               , 14/2/1996 (24 years old)  ,24.0,189.0,83.0,25500.0,0.0,400000.0,12.0,13.0,4.0,7.0,7.0,6.0,7.0,12.0,7.0,13.0,10.0,6.0,1.0,13.0,5.0,9.0,8.0,12.0,6.0,13.0,7.0,4.0,13.0,18.0,13.0,12.0,8.0,1.0,12.0,13.0,2.0,13.0,1.0,3.0,2.0,6.0,13.0,3.0,13.0,9.0,11.0,13.0,1.0,7.0,1.0,2.0,1,0,0,0,0,0,79.8,1497.63,1374.0,0,0,0,1,Aleksandr Dovbnya
TFM Group,,,,,Vitaly Djakov,Spartak M-2,RUS, D (C)                               , 31/1/1989 (31 years old)  ,31.0,192.0,86.0,40000.0,0.0,400000.0,14.0,15.0,1.0,10.0,5.0,13.0,10.0,13.0,11.0,12.0,10.0,14.0,3.0,11.0,14.0,11.0,11.0,12.0,12.0,12.0,14.0,12.0,13.0,13.0,10.0,12.0,10.0,4.0,8.0,10.0,2.0,14.0,1.0,3.0,2.0,10.0,11.0,1.0,12.0,7.0,9.0,12.0,2.0,11.0,2.0,1.0,1,0,0,0,0,0,64.8,1497.63,1156.0,0,0,0,1,Vitaliy Djakov
,,,,,Alexandr Soldatenkov,Krylja Sovetov,RUS, D (C)                               , 28/12/1996 (23 years old) ,23.0,183.0,70.0,1400.0,300000.0,400000.0,8.0,11.0,4.0,8.0,6.0,5.0,5.0,14.0,4.0,8.0,13.0,5.0,1.0,14.0,13.0,9.0,5.0,10.0,4.0,9.0,14.0,5.0,11.0,12.0,14.0,14.0,9.0,2.0,12.0,14.0,4.0,9.0,1.0,3.0,4.0,1.0,9.0,1.0,14.0,14.0,9.0,10.0,4.0,5.0,2.0,3.0,1,0,0,0,0,0,64.8,1497.63,1425.0,0,0,0,1,Aleksandr Soldatenkov
,,,,,Dmitry Tikhiy,Khimki,RUS," D (RC), WB (R)                      ", 29/10/1992 (27 years old) ,27.0,186.0,78.0,24000.0,98000.0,375000.0,11.0,11.0,3.0,9.0,13.0,11.0,11.0,14.0,8.0,14.0,12.0,7.0,1.0,13.0,10.0,10.0,12.0,12.0,7.0,12.0,15.0,7.0,12.0,15.0,10.0,13.0,9.0,2.0,12.0,12.0,2.0,12.0,2.0,3.0,3.0,8.0,12.0,1.0,12.0,11.0,13.0,12.0,2.0,5.0,1.0,3.0,1,0,0,0,0,0,79.8,1497.63,1336.0,0,0,0,1,Dmitriy Tikhiy
,,,,,Georgy Tigiev,Spartak M-2,RUS," D (RL), WB (L)                      ", 20/6/1995 (25 years old)  ,25.0,176.0,77.0,29500.0,0.0,375000.0,12.0,8.0,1.0,7.0,13.0,7.0,7.0,9.0,10.0,12.0,8.0,7.0,2.0,10.0,10.0,11.0,5.0,11.0,10.0,9.0,11.0,7.0,9.0,16.0,10.0,9.0,12.0,1.0,14.0,14.0,2.0,10.0,2.0,2.0,3.0,12.0,13.0,3.0,14.0,13.0,14.0,13.0,4.0,6.0,1.0,2.0,0,1,0,0,0,0,64.8,1497.63,1156.0,0,0,1,0,Georgiy Tigiyev
,,,,,Evgeny Gapon,Khimki,RUS, D (L)                               , 20/4/1991 (29 years old)  ,29.0,189.0,80.0,8750.0,0.0,375000.0,10.0,13.0,3.0,10.0,11.0,10.0,13.0,12.0,12.0,12.0,11.0,9.0,1.0,9.0,10.0,12.0,12.0,12.0,11.0,12.0,13.0,9.0,10.0,14.0,8.0,11.0,11.0,3.0,12.0,13.0,2.0,11.0,2.0,2.0,1.0,10.0,10.0,3.0,14.0,12.0,13.0,12.0,4.0,8.0,1.0,1.0,0,1,0,0,0,0,79.8,1497.63,1336.0,0,0,1,0,Evgeniy Gapon
,,,,,Maxim Nenakhov,Akhmat,RUS, D (RL)                              , 13/12/1998 (21 years old) ,21.0,178.0,71.0,25000.0,32500.0,375000.0,14.0,8.0,1.0,7.0,10.0,8.0,12.0,13.0,12.0,15.0,9.0,5.0,1.0,10.0,4.0,12.0,12.0,10.0,8.0,12.0,6.0,9.0,12.0,16.0,13.0,12.0,12.0,3.0,13.0,13.0,2.0,9.0,2.0,2.0,1.0,9.0,13.0,3.0,13.0,12.0,15.0,13.0,2.0,4.0,3.0,3.0,0,1,0,0,0,0,79.8,1497.63,1463.0,0,0,0,1,Maksim Nenakhov
,,,,,Ilja Samoshnikov,Rubin,RUS," D (RL), WB (L)                      ", 14/11/1997 (22 years old) ,22.0,177.0,64.0,25500.0,47500.0,375000.0,15.0,8.0,3.0,9.0,15.0,5.0,12.0,12.0,11.0,13.0,8.0,7.0,3.0,11.0,7.0,8.0,5.0,12.0,8.0,9.0,5.0,8.0,10.0,14.0,11.0,8.0,11.0,3.0,16.0,15.0,1.0,7.0,1.0,2.0,2.0,7.0,10.0,3.0,14.0,14.0,13.0,12.0,1.0,7.0,1.0,1.0,0,1,0,0,0,0,79.8,1497.63,1471.0,0,0,0,1,Ilya Samoshnikov
,,,,,Yury Gorshkov,Krylja Sovetov,RUS, D (L)                               , 13/3/1999 (21 years old)  ,21.0,180.0,70.0,21000.0,0.0,375000.0,15.0,12.0,2.0,9.0,9.0,9.0,8.0,14.0,11.0,10.0,10.0,2.0,3.0,14.0,6.0,11.0,5.0,9.0,4.0,8.0,12.0,6.0,12.0,16.0,15.0,8.0,14.0,2.0,14.0,14.0,1.0,8.0,1.0,3.0,3.0,9.0,10.0,2.0,8.0,15.0,11.0,11.0,4.0,2.0,4.0,2.0,0,1,0,0,0,0,64.8,1497.63,1425.0,0,0,1,0,Yuriy Gorshkov
,,,,,Alexandr Rudenko,Sochi,RUS," AM (RL), ST (C)                     ", 15/3/1999 (21 years old)  ,21.0,172.0,67.0,20500.0,0.0,350000.0,14.0,6.0,3.0,10.0,5.0,11.0,12.0,7.0,13.0,10.0,11.0,9.0,1.0,3.0,4.0,10.0,12.0,11.0,10.0,3.0,13.0,11.0,9.0,14.0,10.0,6.0,12.0,2.0,13.0,13.0,2.0,8.0,1.0,3.0,2.0,13.0,11.0,2.0,12.0,14.0,10.0,8.0,1.0,12.0,2.0,1.0,0,0,0,0,0,1,79.8,1497.63,1530.0,0,0,1,0,Aleksandr Rudenko
,,,,,Dmitry Rybchinskiy,Lokomotiv Moscow,RUS," M (R), AM (RL)                      ", 19/8/1998 (21 years old)  ,21.0,178.0,64.0,21000.0,0.0,350000.0,9.0,9.0,3.0,12.0,5.0,9.0,12.0,6.0,13.0,13.0,10.0,7.0,3.0,9.0,12.0,12.0,11.0,14.0,12.0,5.0,4.0,7.0,12.0,11.0,11.0,7.0,11.0,4.0,14.0,13.0,3.0,8.0,2.0,3.0,2.0,13.0,11.0,4.0,11.0,10.0,12.0,15.0,2.0,12.0,2.0,2.0,0,0,0,0,0,1,79.8,1497.63,1544.0,0,0,0,1,Dmitriy Rybchinskiy
