name,club,nat,position,dob,age,height,weight,wage,last trans. fee,value,agg,jum,pun,vis,l th,lon,otb,tck,tec,tea,cmp,fre,ref,pos,pen,pas,fla,ant,cro,mar,ldr,cor,cnt,det,dec,hea,fir,com,acc,pac,aer,str,thr,han,ecc,dri,bal,kic,sta,agi,wor,bra,cmd,fin,1v1,tro,centerback,fullback,goalkeeper,midfielder,striker,winger,division_rating,nat_rating,club_rating,either_left,either_right,left,right,current_age,kor_names
Lee Jae-Seong,Other,KOR, D (C)                          ,1988-07-05,32.0,187.0,81.0,22000.0,0.0,230000.0,10.0,11.0,1.0,11.0,10.0,8.0,12.0,14.0,12.0,12.0,10.0,11.0,3.0,13.0,11.0,11.0,11.0,10.0,9.0,14.0,10.0,9.0,11.0,5.0,9.0,14.0,11.0,3.0,12.0,11.0,3.0,12.0,2.0,2.0,1.0,7.0,11.0,1.0,12.0,10.0,13.0,11.0,1.0,11.0,1.0,2.0,1,0,0,0,0,0,56.8,1540.35,1156.0,0,0,0,1,35,이재이
Lee Ju-Yong,Jeonbuk,KOR, D (L)                          ,1992-09-26,27.0,181.0,76.0,10250.0,0.0,225000.0,13.0,12.0,1.0,11.0,7.0,12.0,13.0,8.0,12.0,11.0,8.0,11.0,2.0,10.0,8.0,10.0,6.0,9.0,11.0,11.0,7.0,8.0,10.0,11.0,13.0,11.0,8.0,1.0,12.0,10.0,3.0,13.0,3.0,3.0,3.0,13.0,13.0,2.0,13.0,10.0,14.0,14.0,1.0,10.0,3.0,2.0,0,1,0,0,0,0,71.6,1540.35,1599.0,0,0,1,0,31,이 ju-yong
Kim Ji-Hyun,Ulsan,KOR, ST (C)                         ,1996-07-22,24.0,183.0,79.0,8750.0,0.0,225000.0,14.0,13.0,3.0,11.0,5.0,12.0,14.0,10.0,11.0,14.0,10.0,7.0,1.0,13.0,7.0,11.0,13.0,13.0,6.0,13.0,12.0,5.0,11.0,14.0,10.0,13.0,10.0,3.0,12.0,12.0,3.0,11.0,3.0,2.0,3.0,11.0,10.0,1.0,10.0,12.0,15.0,13.0,1.0,12.0,3.0,3.0,0,0,0,0,1,0,71.6,1540.35,1633.0,0,0,0,1,27,김지현
Han Seok-Hee,Suwon,KOR, AM (R)                         ,1996-05-16,24.0,173.0,67.0,2400.0,0.0,220000.0,14.0,9.0,1.0,12.0,10.0,10.0,13.0,11.0,10.0,11.0,12.0,7.0,3.0,8.0,7.0,9.0,12.0,9.0,8.0,8.0,4.0,9.0,13.0,17.0,10.0,8.0,10.0,1.0,13.0,14.0,2.0,13.0,2.0,3.0,3.0,12.0,12.0,3.0,11.0,14.0,15.0,13.0,3.0,8.0,1.0,2.0,0,0,0,0,0,1,71.6,1540.35,1407.0,0,0,0,1,27,한 수크-
Ku Ja-Ryong,Jeonbuk,KOR, D (C)                          ,1992-04-06,28.0,180.0,72.0,9250.0,0.0,210000.0,12.0,13.0,2.0,8.0,6.0,7.0,7.0,9.0,6.0,11.0,9.0,2.0,2.0,12.0,1.0,10.0,3.0,12.0,5.0,11.0,7.0,1.0,10.0,16.0,12.0,15.0,10.0,2.0,13.0,12.0,2.0,14.0,3.0,3.0,3.0,8.0,11.0,1.0,16.0,11.0,13.0,11.0,2.0,6.0,2.0,3.0,1,0,0,0,0,0,71.6,1540.35,1599.0,0,0,0,1,31,Ku Ja-ryong
Han Seung-Gyu,Jeonbuk,KOR, M/AM (C)                       ,1996-09-28,23.0,174.0,65.0,8750.0,0.0,210000.0,9.0,12.0,1.0,11.0,11.0,11.0,12.0,10.0,10.0,12.0,11.0,11.0,3.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,11.0,2.0,12.0,13.0,3.0,13.0,2.0,1.0,3.0,13.0,10.0,3.0,12.0,11.0,12.0,11.0,3.0,12.0,2.0,2.0,0,0,0,1,0,0,71.6,1540.35,1599.0,0,0,0,1,27,한 승기
Dong-Geon,Suwon,KOR, GK                             ,1991-10-04,28.0,190.0,88.0,7250.0,0.0,205000.0,14.0,13.0,11.0,11.0,1.0,1.0,4.0,3.0,9.0,12.0,11.0,6.0,11.0,12.0,4.0,12.0,2.0,12.0,2.0,3.0,12.0,2.0,11.0,12.0,12.0,9.0,10.0,10.0,10.0,10.0,11.0,13.0,12.0,11.0,7.0,2.0,12.0,12.0,14.0,12.0,10.0,11.0,10.0,2.0,17.0,5.0,0,0,1,0,0,0,71.6,1540.35,1407.0,0,0,0,1,32,동기원
Song Min-Kyu,Pohang,KOR, AM (L)                         ,1999-09-12,20.0,172.0,71.0,7250.0,0.0,205000.0,12.0,7.0,1.0,12.0,10.0,6.0,12.0,10.0,14.0,7.0,8.0,3.0,1.0,10.0,6.0,12.0,11.0,8.0,12.0,4.0,7.0,5.0,8.0,10.0,12.0,10.0,13.0,2.0,13.0,12.0,1.0,13.0,3.0,2.0,3.0,13.0,11.0,2.0,11.0,14.0,10.0,13.0,1.0,12.0,3.0,2.0,0,0,0,0,0,1,71.6,1540.35,1476.0,0,0,0,1,24,송 민-키우
Ji Eon-hak,Incheon,KOR," M (RC), AM (RLC), ST (C)       ",1994-03-22,26.0,177.0,72.0,4100.0,0.0,200000.0,12.0,6.0,1.0,10.0,4.0,8.0,11.0,6.0,11.0,12.0,9.0,9.0,2.0,8.0,4.0,10.0,13.0,8.0,10.0,6.0,9.0,9.0,10.0,9.0,8.0,5.0,10.0,2.0,12.0,11.0,2.0,9.0,2.0,1.0,2.0,11.0,10.0,1.0,13.0,10.0,14.0,13.0,4.0,10.0,1.0,3.0,0,0,0,1,0,0,71.6,1540.35,1382.0,0,0,0,1,29,Ji Eon-hak
Han Suk-Jong,Suwon,KOR," DM, M (C)                      ",1992-07-19,28.0,186.0,77.0,16500.0,0.0,200000.0,9.0,13.0,2.0,10.0,7.0,11.0,12.0,12.0,10.0,11.0,10.0,9.0,2.0,13.0,7.0,14.0,10.0,12.0,12.0,12.0,9.0,11.0,11.0,4.0,11.0,12.0,11.0,3.0,10.0,11.0,3.0,14.0,2.0,3.0,2.0,12.0,14.0,2.0,15.0,14.0,13.0,13.0,4.0,10.0,1.0,1.0,0,0,0,1,0,0,71.6,1540.35,1407.0,0,0,0,1,31,한 수크 종
Lee Jung-Hyub,Gyeongnam,KOR, ST (C)                         ,1991-06-24,29.0,186.0,76.0,7750.0,0.0,200000.0,10.0,12.0,3.0,12.0,10.0,8.0,13.0,8.0,9.0,12.0,13.0,9.0,3.0,8.0,12.0,12.0,5.0,12.0,9.0,11.0,7.0,10.0,14.0,4.0,14.0,14.0,8.0,2.0,10.0,11.0,2.0,13.0,1.0,1.0,1.0,11.0,13.0,3.0,12.0,11.0,15.0,12.0,3.0,9.0,1.0,3.0,0,0,0,0,1,0,61.1,1540.35,1382.0,0,0,0,1,32,이정-히브
Ryu Seung-Woo,Jeju,KOR," M (RL), AM (RLC), ST (C)       ",1993-12-17,26.0,174.0,68.0,7750.0,0.0,195000.0,13.0,7.0,2.0,12.0,3.0,9.0,13.0,6.0,13.0,13.0,10.0,8.0,2.0,5.0,8.0,11.0,13.0,11.0,9.0,5.0,4.0,9.0,7.0,12.0,9.0,6.0,13.0,2.0,14.0,12.0,2.0,5.0,3.0,3.0,3.0,12.0,7.0,3.0,10.0,15.0,14.0,9.0,1.0,10.0,4.0,3.0,0,0,0,0,0,1,61.1,1540.35,1445.0,0,0,0,1,29,Ryu Seung-woo
Lee Gyu-Sung,Seongnam,KOR, M (C)                          ,1994-05-10,26.0,174.0,68.0,7750.0,0.0,190000.0,8.0,7.0,2.0,11.0,2.0,10.0,13.0,11.0,14.0,11.0,10.0,12.0,2.0,12.0,13.0,14.0,10.0,10.0,9.0,9.0,12.0,9.0,12.0,11.0,12.0,5.0,12.0,3.0,11.0,12.0,2.0,10.0,3.0,1.0,2.0,10.0,12.0,1.0,11.0,11.0,8.0,13.0,2.0,11.0,4.0,3.0,0,0,0,1,0,0,71.6,1540.35,1323.0,0,0,0,1,29,Lee Gyu-Sung
Min Sang-Gi,Suwon,KOR, D (C)                          ,1991-08-27,28.0,184.0,79.0,9250.0,0.0,190000.0,17.0,14.0,1.0,9.0,6.0,6.0,8.0,10.0,6.0,12.0,10.0,3.0,3.0,11.0,9.0,10.0,4.0,12.0,8.0,10.0,13.0,3.0,11.0,18.0,11.0,12.0,9.0,1.0,10.0,10.0,1.0,13.0,3.0,2.0,2.0,9.0,10.0,3.0,12.0,9.0,13.0,14.0,3.0,8.0,1.0,3.0,1,0,0,0,0,0,71.6,1540.35,1407.0,0,0,0,1,32,Min Sang-Gi
Lee Seung-Gi,Jeonbuk,KOR," M (C), AM (LC)                 ",1988-06-02,32.0,177.0,67.0,10250.0,0.0,185000.0,11.0,5.0,1.0,14.0,2.0,13.0,14.0,3.0,11.0,10.0,13.0,12.0,2.0,11.0,13.0,15.0,14.0,7.0,13.0,4.0,6.0,14.0,12.0,11.0,11.0,5.0,10.0,2.0,12.0,11.0,2.0,6.0,2.0,3.0,2.0,13.0,10.0,2.0,12.0,13.0,13.0,5.0,3.0,10.0,3.0,3.0,0,0,0,1,0,0,71.6,1540.35,1599.0,1,0,0,0,35,이승기
Kim Young-Wook,Jeju,KOR," DM, M (C)                      ",1991-04-29,29.0,177.0,70.0,7750.0,0.0,185000.0,13.0,9.0,2.0,13.0,7.0,9.0,11.0,12.0,12.0,11.0,10.0,11.0,1.0,13.0,2.0,13.0,14.0,11.0,8.0,7.0,5.0,11.0,11.0,4.0,14.0,10.0,15.0,3.0,12.0,12.0,1.0,10.0,2.0,2.0,1.0,11.0,10.0,1.0,12.0,12.0,10.0,12.0,3.0,9.0,3.0,2.0,0,0,0,1,0,0,61.1,1540.35,1445.0,0,0,0,1,32,김 영
Son Jeong-Hyeon,Gyeongnam,KOR, GK                             ,1991-11-25,28.0,191.0,88.0,9500.0,0.0,185000.0,11.0,15.0,10.0,9.0,2.0,2.0,10.0,1.0,9.0,13.0,9.0,5.0,14.0,12.0,3.0,11.0,5.0,13.0,3.0,1.0,10.0,1.0,9.0,13.0,10.0,4.0,6.0,11.0,12.0,13.0,15.0,12.0,9.0,13.0,5.0,2.0,13.0,11.0,14.0,14.0,11.0,11.0,11.0,3.0,14.0,10.0,0,0,1,0,0,0,61.1,1540.35,1382.0,0,0,1,0,32,아들 정동
Lee Chung-Yong,Ulsan,KOR," M (R), AM (RC)                 ",1988-07-02,32.0,180.0,70.0,77000.0,0.0,185000.0,15.0,10.0,2.0,14.0,4.0,10.0,10.0,9.0,13.0,13.0,11.0,7.0,3.0,9.0,8.0,12.0,13.0,11.0,12.0,5.0,9.0,11.0,12.0,15.0,12.0,12.0,12.0,2.0,11.0,11.0,2.0,8.0,2.0,4.0,2.0,12.0,10.0,2.0,10.0,12.0,14.0,14.0,2.0,10.0,1.0,2.0,0,0,0,0,0,1,71.6,1540.35,1633.0,0,0,0,1,35,이 청용
Moon Chang-Jin,Sangju,KOR, M/AM (C)                       ,1993-07-12,27.0,170.0,63.0,5750.0,0.0,180000.0,8.0,7.0,1.0,13.0,4.0,9.0,13.0,3.0,14.0,12.0,9.0,13.0,2.0,11.0,10.0,15.0,14.0,11.0,12.0,5.0,9.0,13.0,13.0,14.0,13.0,10.0,14.0,1.0,13.0,12.0,2.0,10.0,3.0,1.0,3.0,13.0,12.0,3.0,11.0,13.0,9.0,14.0,2.0,11.0,2.0,3.0,0,0,0,1,0,0,71.6,1540.35,1401.0,0,0,1,0,30,문 창진
Kim Tae-Hwan,Suwon,KOR, WB/M (R)                       ,2000-03-25,20.0,179.0,73.0,2100.0,0.0,180000.0,14.0,9.0,1.0,11.0,6.0,8.0,11.0,10.0,10.0,13.0,10.0,4.0,4.0,10.0,7.0,11.0,7.0,9.0,9.0,8.0,12.0,5.0,12.0,16.0,9.0,10.0,9.0,2.0,13.0,13.0,1.0,14.0,3.0,2.0,1.0,10.0,12.0,2.0,13.0,14.0,18.0,9.0,1.0,7.0,1.0,3.0,0,1,0,0,0,0,71.6,1540.35,1407.0,0,1,0,0,23,김대 완
Go Moo-Yol,Gangwon,KOR," AM (LC), ST (C)                ",1990-09-05,29.0,185.0,78.0,6250.0,0.0,180000.0,9.0,13.0,2.0,9.0,4.0,10.0,11.0,8.0,13.0,11.0,10.0,9.0,3.0,10.0,10.0,11.0,7.0,10.0,10.0,6.0,6.0,2.0,10.0,12.0,11.0,11.0,12.0,3.0,14.0,12.0,2.0,9.0,4.0,4.0,4.0,12.0,12.0,1.0,13.0,12.0,14.0,11.0,3.0,11.0,1.0,1.0,0,0,0,0,1,0,71.6,1540.35,1357.0,0,0,0,1,33,moo-yol로 가십시오
Shim Dong-Woon,Anyang,KOR," AM (RL), ST (C)                ",1990-03-03,30.0,169.0,67.0,9500.0,0.0,180000.0,12.0,10.0,2.0,11.0,8.0,11.0,13.0,7.0,12.0,13.0,13.0,7.0,2.0,12.0,11.0,10.0,11.0,13.0,12.0,8.0,9.0,11.0,12.0,18.0,14.0,7.0,10.0,2.0,14.0,13.0,3.0,10.0,3.0,1.0,1.0,12.0,11.0,3.0,11.0,12.0,15.0,11.0,2.0,11.0,1.0,2.0,0,0,0,0,0,1,61.1,1540.35,1156.0,0,0,1,0,33,심판원
Song Si-Woo,Incheon,KOR," M (R), AM (RLC)                ",1993-08-28,26.0,174.0,72.0,5000.0,0.0,180000.0,13.0,10.0,1.0,13.0,5.0,8.0,13.0,8.0,12.0,11.0,12.0,7.0,2.0,8.0,9.0,10.0,13.0,9.0,11.0,8.0,14.0,7.0,12.0,8.0,12.0,7.0,12.0,2.0,13.0,12.0,4.0,9.0,2.0,3.0,3.0,13.0,12.0,3.0,8.0,14.0,10.0,13.0,1.0,11.0,3.0,2.0,0,0,0,0,0,1,71.6,1540.35,1382.0,0,0,1,0,30,Song Si-woo
Seo Bo-Min,Seongnam,KOR, WB/M (L)                       ,1990-06-22,30.0,175.0,64.0,12250.0,0.0,180000.0,11.0,10.0,3.0,12.0,16.0,10.0,11.0,11.0,10.0,13.0,10.0,11.0,1.0,13.0,8.0,12.0,10.0,12.0,11.0,11.0,16.0,9.0,10.0,11.0,11.0,11.0,10.0,1.0,11.0,11.0,1.0,12.0,2.0,2.0,1.0,12.0,10.0,2.0,11.0,11.0,13.0,10.0,2.0,8.0,2.0,2.0,0,1,0,0,0,0,71.6,1540.35,1323.0,0,0,0,1,33,서 보인
Ahn Hyeon-Beom,Jeju,KOR," D/WB (R), M (RL), AM (R)       ",1994-12-21,25.0,179.0,74.0,7750.0,0.0,175000.0,12.0,10.0,1.0,10.0,4.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,2.0,10.0,10.0,11.0,10.0,11.0,10.0,5.0,9.0,9.0,10.0,15.0,11.0,9.0,10.0,2.0,12.0,13.0,3.0,11.0,3.0,1.0,1.0,12.0,11.0,2.0,12.0,11.0,12.0,10.0,2.0,9.0,3.0,3.0,0,1,0,0,0,0,61.1,1540.35,1445.0,0,0,0,1,28,안도주
Choi Chul-Soon,Jeonbuk,KOR," D (RLC), WB (R)                ",1987-02-08,33.0,175.0,68.0,20500.0,0.0,175000.0,12.0,8.0,3.0,9.0,9.0,1.0,7.0,14.0,7.0,10.0,8.0,6.0,3.0,12.0,8.0,13.0,4.0,11.0,10.0,14.0,12.0,6.0,14.0,7.0,10.0,6.0,8.0,1.0,13.0,12.0,1.0,11.0,1.0,3.0,3.0,9.0,11.0,3.0,16.0,12.0,16.0,13.0,3.0,4.0,1.0,1.0,1,0,0,0,0,0,71.6,1540.35,1599.0,0,0,0,1,36,초 chul-soo
Yeo Reum,Gwangju,KOR," DM, M (C)                      ",1989-06-22,31.0,175.0,62.0,5500.0,0.0,175000.0,11.0,10.0,3.0,11.0,6.0,11.0,12.0,10.0,11.0,12.0,12.0,9.0,1.0,11.0,10.0,14.0,11.0,12.0,9.0,11.0,15.0,8.0,11.0,12.0,13.0,9.0,11.0,1.0,10.0,12.0,3.0,11.0,1.0,2.0,3.0,9.0,12.0,1.0,11.0,10.0,13.0,9.0,2.0,10.0,3.0,1.0,0,0,0,1,0,0,71.6,1540.35,1156.0,0,0,0,1,34,Yeo Reum
Joo Min-Kyu,Jeju,KOR," M/AM (C), ST (C)               ",1990-04-13,30.0,183.0,79.0,8250.0,0.0,170000.0,11.0,10.0,2.0,12.0,1.0,11.0,13.0,11.0,12.0,12.0,11.0,13.0,3.0,11.0,13.0,13.0,11.0,11.0,12.0,11.0,8.0,13.0,12.0,11.0,14.0,10.0,11.0,4.0,11.0,11.0,3.0,12.0,1.0,3.0,3.0,11.0,11.0,3.0,11.0,10.0,13.0,11.0,1.0,13.0,2.0,3.0,0,0,0,0,1,0,61.1,1540.35,1445.0,0,0,0,1,33,주민 키우
Kim Dae-Kyung,Other,KOR, WB/M/AM (RL)                   ,1991-09-02,28.0,179.0,70.0,5250.0,0.0,170000.0,9.0,9.0,3.0,10.0,3.0,9.0,11.0,9.0,13.0,12.0,12.0,10.0,4.0,9.0,9.0,12.0,9.0,11.0,11.0,12.0,7.0,11.0,10.0,12.0,10.0,8.0,11.0,3.0,13.0,10.0,1.0,10.0,1.0,3.0,2.0,13.0,10.0,2.0,10.0,12.0,12.0,9.0,1.0,10.0,2.0,2.0,0,1,0,0,0,0,40.8,1540.35,1156.0,0,0,0,1,32,김 대연
Jun Se-Jin,Sangju,KOR, ST (C)                         ,1999-09-09,20.0,187.0,70.0,2100.0,0.0,170000.0,16.0,7.0,2.0,9.0,3.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,3.0,6.0,11.0,10.0,11.0,12.0,8.0,7.0,9.0,5.0,11.0,14.0,10.0,10.0,11.0,1.0,16.0,15.0,3.0,7.0,3.0,3.0,1.0,12.0,11.0,1.0,11.0,14.0,13.0,13.0,1.0,11.0,2.0,1.0,0,0,0,0,1,0,71.6,1540.35,1401.0,0,0,0,1,24,Jun Se-Jin
Kwon Dae-Hee,Other,KOR, D (RC)                         ,1989-08-16,30.0,188.0,79.0,5500.0,0.0,170000.0,13.0,8.0,4.0,7.0,7.0,4.0,8.0,13.0,7.0,8.0,4.0,7.0,2.0,14.0,5.0,10.0,5.0,11.0,3.0,14.0,8.0,6.0,11.0,12.0,10.0,8.0,8.0,3.0,14.0,14.0,1.0,7.0,3.0,4.0,2.0,6.0,10.0,2.0,11.0,14.0,10.0,11.0,4.0,7.0,2.0,3.0,1,0,0,0,0,0,56.8,1540.35,1156.0,0,0,0,1,34,Kwon Dae-hee
Choi Jun-Hyeok,Sangju,KOR," D (C), DM, M (C)               ",1994-09-05,25.0,187.0,88.0,4200.0,0.0,165000.0,10.0,12.0,2.0,9.0,5.0,7.0,7.0,11.0,9.0,13.0,11.0,7.0,1.0,12.0,8.0,13.0,9.0,10.0,6.0,13.0,14.0,6.0,9.0,8.0,11.0,12.0,9.0,1.0,10.0,11.0,1.0,15.0,2.0,2.0,3.0,7.0,11.0,3.0,13.0,11.0,11.0,12.0,1.0,7.0,1.0,3.0,1,0,0,0,0,0,71.6,1540.35,1401.0,0,0,0,1,29,최 젠 하이오크
Lee Gwang-Hyeok,Pohang,KOR, AM (RL)                        ,1995-09-11,24.0,169.0,60.0,5750.0,0.0,165000.0,7.0,9.0,3.0,11.0,8.0,11.0,11.0,8.0,12.0,12.0,13.0,10.0,1.0,12.0,8.0,12.0,10.0,10.0,11.0,5.0,8.0,11.0,12.0,14.0,13.0,10.0,12.0,1.0,13.0,10.0,3.0,7.0,2.0,2.0,1.0,11.0,12.0,3.0,8.0,13.0,13.0,13.0,1.0,10.0,2.0,3.0,0,0,0,0,0,1,71.6,1540.35,1476.0,0,0,1,0,28,Lee Gwang-Hyeok
Kim Won-Sik,Gwangju,KOR," D (C), DM, M (C)               ",1991-11-05,28.0,185.0,75.0,5750.0,0.0,165000.0,13.0,12.0,1.0,8.0,8.0,9.0,10.0,13.0,9.0,12.0,10.0,9.0,2.0,12.0,5.0,11.0,11.0,11.0,8.0,13.0,10.0,5.0,11.0,10.0,11.0,11.0,10.0,1.0,11.0,11.0,2.0,13.0,3.0,3.0,3.0,9.0,12.0,2.0,13.0,11.0,13.0,12.0,3.0,8.0,1.0,1.0,1,0,0,0,0,0,71.6,1540.35,1156.0,0,0,0,1,32,김상 삭
Gu Sung-Yun,Daegu,KOR, GK                             ,1994-06-27,26.0,195.0,82.0,7250.0,0.0,160000.0,8.0,12.0,15.0,7.0,11.0,6.0,8.0,1.0,5.0,11.0,13.0,4.0,11.0,14.0,4.0,7.0,7.0,13.0,5.0,5.0,12.0,5.0,12.0,12.0,12.0,4.0,5.0,10.0,6.0,7.0,17.0,10.0,13.0,13.0,7.0,4.0,13.0,15.0,9.0,8.0,13.0,15.0,13.0,3.0,12.0,12.0,0,0,1,0,0,0,71.6,1540.35,1460.0,0,0,0,1,29,GU SING-YUN
Lee Yeong-Jae,Suwon FC,KOR, M/AM (C)                       ,1994-09-13,25.0,174.0,60.0,7250.0,0.0,160000.0,10.0,10.0,2.0,13.0,11.0,11.0,13.0,8.0,13.0,12.0,12.0,14.0,1.0,7.0,11.0,14.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,12.0,11.0,13.0,1.0,11.0,13.0,2.0,10.0,2.0,2.0,3.0,12.0,10.0,2.0,9.0,12.0,8.0,9.0,2.0,11.0,3.0,3.0,0,0,0,1,0,0,61.1,1540.35,1349.0,0,0,1,0,29,이 평야
Kim Jong-Woo,Gwangju,KOR, M/AM (C)                       ,1993-10-01,26.0,176.0,58.0,5250.0,0.0,160000.0,11.0,9.0,2.0,14.0,5.0,11.0,11.0,9.0,10.0,12.0,10.0,11.0,2.0,10.0,5.0,13.0,13.0,13.0,10.0,8.0,11.0,13.0,10.0,12.0,9.0,9.0,12.0,1.0,11.0,11.0,3.0,10.0,3.0,3.0,1.0,12.0,11.0,1.0,11.0,13.0,11.0,10.0,2.0,9.0,1.0,3.0,0,0,0,1,0,0,71.6,1540.35,1156.0,0,0,0,1,30,김정우
Yeo Bong-Hun,Gwangju,KOR," D (R), DM, M (C)               ",1994-03-12,26.0,178.0,70.0,3900.0,0.0,160000.0,13.0,13.0,3.0,11.0,6.0,9.0,12.0,11.0,10.0,13.0,10.0,12.0,3.0,12.0,8.0,11.0,9.0,11.0,10.0,12.0,13.0,9.0,11.0,11.0,12.0,10.0,10.0,3.0,10.0,12.0,3.0,13.0,1.0,2.0,2.0,10.0,10.0,1.0,13.0,11.0,14.0,14.0,1.0,9.0,1.0,1.0,0,1,0,0,0,0,71.6,1540.35,1156.0,0,0,0,1,29,Yeo Bong-hun
Lee Ki-Je,Suwon,KOR, D/WB (L)                       ,1991-07-09,29.0,168.0,66.0,6500.0,0.0,150000.0,13.0,10.0,2.0,10.0,7.0,11.0,12.0,12.0,13.0,9.0,12.0,14.0,1.0,7.0,11.0,11.0,10.0,10.0,11.0,9.0,9.0,13.0,10.0,15.0,11.0,8.0,12.0,2.0,13.0,14.0,2.0,10.0,1.0,1.0,2.0,12.0,11.0,1.0,15.0,12.0,12.0,12.0,2.0,9.0,2.0,1.0,0,1,0,0,0,0,71.6,1540.35,1407.0,0,0,1,0,32,이 키 주
Lee Sang-Heon,Ulsan,KOR, M/AM (C)                       ,1998-02-26,22.0,178.0,67.0,5750.0,0.0,150000.0,11.0,12.0,1.0,11.0,8.0,9.0,12.0,11.0,12.0,10.0,11.0,11.0,1.0,10.0,7.0,12.0,13.0,13.0,11.0,8.0,10.0,8.0,11.0,8.0,10.0,11.0,10.0,1.0,12.0,12.0,2.0,12.0,3.0,1.0,4.0,13.0,11.0,3.0,12.0,13.0,12.0,11.0,1.0,10.0,1.0,3.0,0,0,0,1,0,0,71.6,1540.35,1633.0,0,0,0,1,25,이 상성
Lee Jong-Sung,Seongnam,KOR," DM, M (C)                      ",1992-08-05,27.0,187.0,70.0,5500.0,0.0,150000.0,11.0,13.0,3.0,14.0,3.0,10.0,10.0,11.0,10.0,12.0,11.0,4.0,2.0,12.0,7.0,12.0,10.0,11.0,8.0,11.0,11.0,6.0,11.0,14.0,12.0,12.0,13.0,1.0,11.0,11.0,1.0,14.0,3.0,1.0,3.0,11.0,12.0,3.0,15.0,10.0,14.0,12.0,3.0,7.0,1.0,2.0,0,0,0,1,0,0,71.6,1540.35,1323.0,0,0,0,1,31,이종-울
Sin Se-Gye,Gangwon,KOR, D (R)                          ,1990-09-16,29.0,178.0,73.0,5250.0,0.0,150000.0,13.0,9.0,2.0,11.0,10.0,5.0,10.0,12.0,8.0,11.0,9.0,7.0,3.0,13.0,4.0,10.0,12.0,11.0,11.0,13.0,10.0,7.0,10.0,14.0,12.0,10.0,10.0,2.0,12.0,12.0,1.0,11.0,1.0,1.0,1.0,11.0,10.0,1.0,14.0,10.0,15.0,13.0,2.0,7.0,3.0,1.0,0,1,0,0,0,0,71.6,1540.35,1357.0,0,0,0,1,33,죄 세기
Jung Won-Jin,Sangju,KOR," M (C), AM (L)                  ",1994-08-10,25.0,176.0,65.0,4800.0,0.0,150000.0,13.0,7.0,3.0,11.0,9.0,11.0,12.0,8.0,11.0,12.0,8.0,13.0,2.0,7.0,7.0,13.0,13.0,9.0,12.0,8.0,7.0,14.0,12.0,11.0,9.0,8.0,10.0,2.0,14.0,10.0,1.0,10.0,3.0,3.0,3.0,12.0,13.0,2.0,12.0,12.0,12.0,10.0,1.0,8.0,2.0,2.0,0,0,0,1,0,0,71.6,1540.35,1401.0,0,0,0,1,29,정상 진
Lee Seung-Hee,Other,KOR," DM, M (C)                      ",1988-06-10,32.0,184.0,79.0,55000.0,0.0,145000.0,13.0,12.0,3.0,15.0,5.0,15.0,11.0,13.0,12.0,10.0,12.0,9.0,3.0,14.0,6.0,14.0,5.0,13.0,7.0,13.0,10.0,9.0,11.0,17.0,11.0,10.0,14.0,3.0,8.0,9.0,2.0,13.0,2.0,4.0,1.0,11.0,12.0,1.0,14.0,9.0,12.0,10.0,1.0,6.0,1.0,1.0,0,0,0,1,0,0,40.8,1540.35,1156.0,0,0,0,1,35,이임-
Kim Jin-Ya,Seoul,KOR," D (L), WB/AM (RL)              ",1998-06-30,22.0,174.0,66.0,5250.0,0.0,145000.0,10.0,9.0,3.0,12.0,9.0,8.0,12.0,9.0,12.0,12.0,11.0,5.0,3.0,10.0,9.0,10.0,13.0,9.0,8.0,10.0,9.0,3.0,12.0,4.0,10.0,8.0,11.0,3.0,13.0,12.0,3.0,11.0,3.0,2.0,2.0,12.0,11.0,1.0,14.0,12.0,14.0,12.0,1.0,9.0,1.0,4.0,0,1,0,0,0,0,71.6,1540.35,1398.0,0,0,0,1,25,김진-
Lee Chang-Min,Jeju,KOR," DM, M/AM (C)                   ",1994-01-20,26.0,178.0,74.0,5750.0,0.0,145000.0,11.0,8.0,1.0,13.0,4.0,11.0,11.0,10.0,13.0,11.0,9.0,7.0,2.0,10.0,3.0,10.0,13.0,9.0,6.0,10.0,11.0,7.0,6.0,12.0,12.0,7.0,13.0,3.0,13.0,13.0,1.0,8.0,2.0,1.0,2.0,9.0,8.0,3.0,9.0,13.0,12.0,13.0,3.0,8.0,3.0,2.0,0,0,0,1,0,0,61.1,1540.35,1445.0,0,0,0,1,29,리 창만
Song Joo-Hoon,Jeju,KOR, D (C)                          ,1994-01-13,26.0,190.0,83.0,6250.0,0.0,145000.0,10.0,11.0,2.0,8.0,6.0,7.0,11.0,12.0,10.0,12.0,9.0,7.0,3.0,12.0,5.0,10.0,10.0,10.0,6.0,13.0,11.0,5.0,9.0,9.0,11.0,11.0,10.0,2.0,11.0,12.0,3.0,11.0,2.0,3.0,1.0,7.0,10.0,2.0,13.0,10.0,11.0,11.0,1.0,8.0,3.0,2.0,1,0,0,0,0,0,61.1,1540.35,1445.0,0,0,1,0,29,송 주판
